Date,open_adj,high_adj,low_adj,close_adj,volume
2019-12-20,292.857974,294.237923,291.880157,293.104736,147142100
2019-12-23,293.890739,293.945569,293.40639,293.552612,52990000
2019-12-24,293.781056,293.826739,293.260145,293.561737,20270000
2019-12-26,293.945432,295.133476,293.936312,295.124329,30911200
2019-12-27,295.855447,295.910277,294.521208,295.051239,42528800
2019-12-30,295.133578,295.270652,292.940273,293.424622,49729100
2019-12-31,292.92205,294.384244,292.574776,294.137482,57077300
2020-01-02,295.672813,296.90654,294.749797,296.888245,59151200
2020-01-03,293.497772,295.764174,293.442942,294.640106,77709700
2020-01-06,292.885424,295.846374,292.766617,295.76413,55653900
2020-01-07,295.197466,295.672695,294.484651,294.932465,40496400
2020-01-08,295.124415,297.719796,294.877681,296.504364,68296000
2020-01-09,298.067076,298.587987,297.482187,298.514862,48473300
2020-01-10,299.099719,299.25506,297.189739,297.655792,53029300
2020-01-13,298.277219,299.71197,297.8477,299.70285,47086800
2020-01-14,299.264239,300.315181,298.688498,299.245972,62832800
2020-01-15,299.154535,300.680678,299.07229,299.92218,72056600
2020-01-16,301.302164,302.417084,301.073697,302.417084,54050300
2020-01-17,303.129932,303.56857,302.353138,303.358398,95846000
2020-01-21,302.398802,303.568551,302.325705,302.764343,77742400
2020-01-22,303.623317,304.272183,302.6455,302.800842,48914900
2020-01-23,302.152111,303.559476,301.037192,303.148224,51963000
2020-01-24,303.806146,303.888391,299.163683,300.45224,87578400
2020-01-27,295.206742,297.116722,294.868615,295.636261,84062500
2020-01-28,297.061768,299.611466,295.727529,298.734161,63834000
2020-01-29,300.095873,300.32434,298.286405,298.487457,53888900
2020-01-30,296.422069,299.666315,295.672719,299.456116,75491800
2020-01-31,298.834719,298.990088,293.104779,294.018646,113845600
2020-02-03,295.499121,298.067087,295.380314,296.202789,69083000
2020-02-04,299.812596,301.585501,299.492736,300.717316,62573200
2020-02-05,303.650702,304.40008,302.188536,304.18988,65951100
2020-02-06,305.149524,305.405405,304.135116,305.213501,50359700
2020-02-07,304.153447,305.222656,303.038527,303.586853,64139400
2020-02-10,302.700444,305.917249,302.663882,305.853271,42070000
2020-02-11,307.205715,307.991628,305.853181,306.38324,54864500
2020-02-12,307.818063,308.567441,307.452521,308.357269,43992700
2020-02-13,306.931546,308.996896,306.657397,308.028198,54501900
2020-02-14,308.439453,308.640505,307.242289,308.521698,64582200
2020-02-18,307.525602,308.585692,306.337557,307.726654,57226200
2020-02-19,308.695382,309.874251,308.412085,309.197998,48814700
2020-02-20,308.6497,309.472204,304.939399,307.927765,74163400
2020-02-21,306.57521,306.885922,303.934119,304.756622,113788200
2020-02-24,295.307247,304.829734,293.570876,294.649261,161088400
2020-02-25,296.038276,296.650552,284.843398,285.720703,218913200
2020-02-26,287.118836,290.710327,283.938595,284.669678,194773800
2020-02-27,279.149965,284.724563,271.884735,271.884735,284353500
2020-02-28,263.833595,272.23204,260.94577,270.742432,384975800
2020-03-02,272.524432,282.531293,269.097429,282.467316,238703600
2020-03-03,282.842031,286.808213,271.939597,274.379608,300139100
2020-03-04,279.753139,286.131945,277.203441,285.912598,176613400
2020-03-05,278.711474,281.900864,274.169548,276.408508,186366800
2020-03-06,267.900313,273.045393,265.231835,271.839081,228667200
2020-03-09,251.587803,259.712101,249.89717,250.609985,309417300
2020-03-10,260.123219,263.669001,249.942723,263.577637,276444100
2020-03-11,256.522691,257.655878,247.548503,250.728745,255316300
2020-03-12,233.9501,243.691931,226.346715,226.739685,392220700
2020-03-13,240.429428,248.096791,227.114384,246.122833,329566100
2020-03-16,220.406578,234.772578,216.915612,219.191147,297240000
2020-03-17,223.93412,234.105485,216.650608,231.025742,262070500
2020-03-18,215.901228,226.977299,208.380101,219.328232,327597100
2020-03-19,218.642828,226.072576,212.21834,219.794296,289322000
2020-03-20,222.943662,224.726993,210.046704,210.322479,347158800
2020-03-23,209.761684,211.131345,200.633611,204.944855,326025200
2020-03-24,215.488561,224.386825,214.918636,223.513535,235494500
2020-03-25,225.094632,235.647533,220.38812,226.859573,299430300
2020-03-26,229.369133,241.576645,228.937089,240.105881,257632800
2020-03-27,232.816251,239.747325,230.775535,232.954132,224341200
2020-03-30,235.050002,241.236493,233.05525,240.519485,171369500
2020-03-31,239.51753,242.063818,235.528025,236.934464,194881100
2020-04-01,227.953515,236.85178,224.203008,226.271301,189554600
2020-04-02,225.388836,232.273946,224.837286,231.492599,177660400
2020-04-03,230.508989,232.862259,225.416397,228.146545,135561200
2020-04-06,237.017196,245.437451,228.128134,243.470261,188061200
2020-04-07,252.065191,252.818975,243.497882,243.718491,201427200
2020-04-08,246.319947,253.710657,243.82881,251.89975,153774500
2020-04-09,255.163033,258.490711,253.223447,255.732986,189999200
2020-04-13,254.758605,255.098719,249.491341,253.398117,114839100
2020-04-14,258.288485,261.891896,253.260233,260.871552,134143400
2020-04-15,255.153848,261.009412,253.214234,255.328506,121775000
2020-04-16,256.606315,257.415252,253.4901,256.560364,131798300
2020-04-17,262.33311,264.098038,259.593761,263.491364,146684800
2020-04-20,259.78686,263.629311,258.628634,258.849243,100109300
2020-04-21,254.381673,255.585877,250.052026,250.98967,126385700
2020-04-22,255.870932,258.306917,254.547222,256.560364,92951600
2020-04-23,257.838034,261.009429,256.238563,256.541901,104709700
2020-04-24,258.058615,260.788763,256.008697,260.117706,85063200
2020-04-27,262.094096,264.989701,261.634475,263.868225,77896600
2020-04-28,267.517675,267.866991,262.351542,262.654907,105270000
2020-04-29,267.986382,271.065846,266.956837,269.530701,118745600
2020-04-30,268.151981,269.631975,265.283952,267.021332,122901700
2020-05-01,262.268687,267.186633,258.784755,259.952209,125180000
2020-05-04,258.067903,260.97271,256.587937,260.669373,80873200
2020-05-05,263.491368,265.890574,260.797969,263.077698,79569900
2020-05-06,264.778305,265.164371,260.862328,261.294373,73632600
2020-05-07,264.511772,266.377831,263.941847,264.447418,75250400
2020-05-08,267.582016,269.29182,266.451339,268.822998,76452400
2020-05-11,266.892609,270.257036,266.469765,268.878174,79514200
2020-05-12,270.063977,270.477619,263.381073,263.518982,95870800
2020-05-13,262.958176,263.996924,256.431557,258.858368,144721100
2020-05-14,256.422444,262.084948,250.943744,261.956268,121977900
2020-05-15,259.566103,263.20629,258.619286,263.160339,111146300
2020-05-18,269.383646,272.78485,269.061934,271.176178,119703800
2020-05-19,270.578729,272.288505,268.372555,268.39093,95189300
2020-05-20,271.929973,273.814406,271.700163,272.950317,85861700
2020-05-21,272.821672,273.630609,269.972018,271.065918,78293900
2020-05-22,270.780953,271.755347,269.539971,271.580688,63958200
2020-05-26,277.546571,277.785583,271.599078,274.926727,88951400
2020-05-27,277.721261,279.054173,272.895243,279.017395,104817400
2020-05-28,280.046882,282.060023,277.831507,278.502563,90405200
2020-05-29,278.033757,280.331861,275.285234,279.743561,119090800
2020-06-01,279.100108,281.48094,278.585335,280.874237,55758300
2020-06-02,281.793452,283.245869,280.460569,283.19989,74267200
2020-06-03,285.18542,287.924769,284.909658,286.96875,92567600
2020-06-04,285.985186,287.722566,284.119127,286.214996,75794400
2020-06-05,291.610921,295.324636,291.546567,293.550507,150524700
2020-06-08,294.359497,297.291879,293.817148,297.098846,73641200
2020-06-09,294.433097,297.172448,293.569008,294.883545,77479200
2020-06-10,295.462614,296.354279,292.52103,293.238037,95000800
2020-06-11,286.306967,286.941246,275.781668,276.333191,209243600
2020-06-12,283.346936,284.119096,274.485465,279.642395,194678900
2020-06-15,273.952274,283.383698,272.775646,282.253021,135782700
2020-06-16,290.002328,290.14941,282.823054,287.685822,137627500
2020-06-17,288.70622,289.000384,285.755435,286.490845,83398900
2020-06-18,284.973966,287.079008,284.514346,286.601013,80828700
2020-06-19,290.069001,290.262883,283.015077,284.963226,135549600
2020-06-22,284.362981,287.188236,283.218115,286.791229,74649400
2020-06-23,289.441138,290.373666,287.705354,288.111603,68471200
2020-06-24,286.071198,286.689813,278.924967,280.762299,132813500
