Date,open_adj,high_adj,low_adj,close_adj,volume
2012-10-17,60.335385,60.807248,60.255262,60.611382,33439400
2012-10-18,60.4155,60.611366,59.685457,59.908031,61707600
2012-10-19,59.836811,59.890227,58.403434,58.474659,75362600
2012-10-22,58.447969,58.92873,58.314423,58.777374,38621500
2012-10-23,58.296607,58.71504,58.03842,58.216476,52591200
2012-10-24,58.545888,58.643821,57.922676,58.011711,39872400
2012-10-25,58.412342,58.510275,57.842553,58.011711,52688700
2012-10-26,58.011699,58.421235,57.557646,58.180851,54213100
2012-10-31,58.109651,58.216489,57.628897,57.824757,38524500
2012-11-01,58.189761,58.75955,58.020603,58.643814,26945000
2012-11-02,58.910907,58.94652,57.967195,58.020611,44083000
2012-11-05,58.029516,58.519181,57.904875,58.403439,28094700
2012-11-06,58.501364,58.9109,58.27879,58.510269,29608400
2012-11-07,57.887061,57.958286,56.889933,57.13031,70737800
2012-11-08,57.290565,57.424111,56.231113,56.231113,58585800
2012-11-09,56.266736,57.076906,56.231124,56.471504,51542100
2012-11-12,56.800907,56.863227,56.311244,56.462593,32663700
2012-11-13,56.026355,56.605049,55.892809,56.070869,43288300
2012-11-14,56.346855,56.409175,55.323013,55.412045,82655300
2012-11-15,55.447653,55.634617,55.020311,55.225079,55124200
2012-11-16,55.26961,55.625727,54.584082,55.465473,70873100
2012-11-19,56.070852,56.827606,56.053046,56.783089,55306400
2012-11-20,56.765291,56.88103,56.257822,56.800903,52012700
2012-11-21,56.863211,56.996753,56.62283,56.91663,19611700
2012-11-23,57.237139,57.798023,57.201526,57.78022,16462900
2012-11-26,57.637782,58.065127,57.459725,58.029514,26430900
2012-11-27,58.020595,58.225366,57.7357,57.833633,25828600
2012-11-28,57.557672,58.376743,57.201552,58.332226,37295800
2012-11-29,58.643834,58.884212,58.385648,58.679447,41136100
2012-11-30,58.688317,58.732834,58.412327,58.581486,33497400
2012-12-03,59.035545,59.088967,58.439048,58.465755,28240000
2012-12-04,58.492458,58.554779,58.04731,58.430138,49584500
