timestamp	commit	strategy	status	full_return_pct	avg_outperformance	avg_trades_yr	avg_win_rate	avg_sharpe	worst_maxdd	description
2026-04-04 14:13:18	d9337b3	autoresearch.experimental_strategy.ExperimentalStrategy	discard	577.62	1.4802	11.84	0.6668	1.1296	-28.32	return=+577.6% | avg_outperf=1.48x | trades/yr=11.8 | win=66.7% | sharpe=1.13 | maxDD=-28.3%
2026-04-04 14:39:12	d9337b3	autoresearch.experimental_strategy.ExperimentalStrategy	discard	742.95	1.4718	16.83	0.7017	1.1948	-28.76	return=+742.9% | avg_outperf=1.47x | trades/yr=16.8 | win=70.2% | sharpe=1.19 | maxDD=-28.8%
2026-04-04 23:50:37	45fda6e	autoresearch.experimental_strategy.ExperimentalStrategy	discard	737.13	1.4693	18.33	0.7047	1.1919	-28.76	return=+737.1% | avg_outperf=1.47x | trades/yr=18.3 | win=70.5% | sharpe=1.19 | maxDD=-28.8%
2026-04-05 00:34:57	d006512	autoresearch.experimental_strategy.ExperimentalStrategy	discard	698.72	1.3631	18.3	0.7051	1.1722	-28.76	return=+698.7% | avg_outperf=1.36x | trades/yr=18.3 | win=70.5% | sharpe=1.17 | maxDD=-28.8%
2026-04-05 00:36:16	d006512	autoresearch.experimental_strategy.ExperimentalStrategy	discard	702.07	1.4238	18.47	0.7074	1.1953	-28.76	return=+702.1% | avg_outperf=1.42x | trades/yr=18.5 | win=70.7% | sharpe=1.20 | maxDD=-28.8%
2026-04-05 01:45:45	210ddf5	autoresearch.experimental_strategy.ExperimentalStrategy	discard	848.89	1.6494	15.19	0.6683	1.2851	-28.76	return=+848.9% | avg_outperf=1.65x | trades/yr=15.2 | win=66.8% | sharpe=1.29 | maxDD=-28.8%
2026-04-05 01:48:14	210ddf5	autoresearch.experimental_strategy.ExperimentalStrategy	discard	823.04	1.6924	18.62	0.6858	1.3319	-24.06	return=+823.0% | avg_outperf=1.69x | trades/yr=18.6 | win=68.6% | sharpe=1.33 | maxDD=-24.1%
2026-04-05 15:12:42	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	875.17	1.6962	12.02	0.7003	1.242	-28.76	return=+875.2% | avg_outperf=1.70x | trades/yr=12.0 | win=70.0% | sharpe=1.24 | maxDD=-28.8%
2026-04-05 15:19:45	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	871.26	1.7788	12.2	0.7011	1.255	-28.76	return=+871.3% | avg_outperf=1.78x | trades/yr=12.2 | win=70.1% | sharpe=1.26 | maxDD=-28.8%
2026-04-05 15:24:21	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	587.35	1.574	22.77	0.625	1.2876	-30.53	return=+587.4% | avg_outperf=1.57x | trades/yr=22.8 | win=62.5% | sharpe=1.29 | maxDD=-30.5%
