Symbol,StartDate,EndDate,Duration,BuyPrice,SellPrice,ShareSize,Profit,ProfitPercent,isProfitable,isShortSale
TQQQ,2013-10-17,2015-10-01,492,1.95,3.66,5128,8768.88,0.876923,True,False
TQQQ,2015-11-18,2016-02-05,53,4.79,3.45,3918,-5250.12,-0.279749,False,False
TQQQ,2016-05-09,2016-06-30,37,3.84,3.9,3520,211.2,0.015625,True,False
TQQQ,2016-07-18,2018-12-04,601,4.51,13.14,3044,26269.72,1.913525,True,False
TQQQ,2019-04-03,2020-04-30,271,15.13,17.6,2643,6528.21,0.163252,True,False
TQQQ,2020-05-22,2022-03-02,447,19.52,50.67,2383,74230.45,1.595799,True,False
TQQQ,2023-03-14,2024-12-31,453,22.12,81.8,5459,325793.12,2.698011,True,False
